company,company_formal,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,industry,column18,column19,column20,column21,column22,column23,column24,column25,column26,column27,column28,column29,column30,column31,column32,column33,column34,column35,column36,column37,column38,column39,column40,column41,column42,column43,column44
Ador Welding,ADOR WELDING LTD.,3.9,264,3.7,3.9,3.4,3.6,3.7,3.6,3.1,6923,ADOR WELDING,20101020104,Ador Group (Advani Oerlikon),1,6.3081616e+19,Welding electrodes / sticks / wires / fluxes,101014005150000,Miscellaneous electrical machinery,270901010000,27900,Manufacture of other electrical equipment,1951,Electrical Machinery & Equipment,6923,20240331,12,INDAS,8969.0,8874.1,-149.3,8187.8,726.3,639.5,70.4,631.9,6299.5,1535.0,92.0,0.0,ADOR WELDING LTD.,6299.5,264.0,Matched (3)
Advanced Enzyme Technologies,ADVANCED ENZYME TECHNOLOGIES LTD.,4.0,63,4.2,4.0,3.1,3.9,4.0,3.9,3.0,6819,,20202000000,Private (Foreign),1,5.03628e+19,Enzymes,101012090000000,Other chemical products,200209050000,20295,"Manufacture of gelatine and its derivatives, resinoids, glues, prepared adhesives, including rubber-based glues and adhesives",1989,Chemical & Allied Products,6819,20240331,12,INDAS,4242.7,3654.7,78.4,3239.9,407.2,359.3,22.1,1081.2,6348.6,635.0,92.0,1.0,ADVANCED ENZYME TECHNOLOGIES LTD.,6348.6,63.0,Matched (3)
Airan,AIRAN LTD.,3.7,78,3.2,3.6,3.0,3.4,3.5,3.4,2.9,8628,AIRAN CONSULT.,20101031338,Airan Group,1,8.03656e+19,Database services,101041510000000,Business services & consultancy,630101010000,63111,Data processing activities including report writing,1995,Services & Consultancy,8628,20240331,12,INDAS,946.0,922.8,,832.6,473.2,473.2,,113.4,1354.2,1787.0,,,AIRAN LTD.,1354.2,78.0,Matched (3)
Ajanta Pharma,AJANTA PHARMA LTD.,4.0,2.2k,3.9,3.8,3.6,3.7,3.7,3.7,3.4,8893,AJANTA PHARMA,20101031220,Ajanta Pharma Group,1,5.01248e+19,Drug formulations,101012030000000,Drugs & pharmaceuticals,210101020000,21002,Manufacture of allopathic pharmaceutical preparations,1979,Healthcare & Pharmaceuticals,8893,20240331,12,INDAS,40876.0,39711.2,221.7,33025.3,8341.6,8198.3,89.4,8072.4,42612.7,10368.0,816.0,4.0,AJANTA PHARMA LTD.,42612.7,2200.0,Matched (3)
Ajmera Realty & Infra India,AJMERA REALTY & INFRA INDIA LTD.,4.1,124,4.1,4.1,3.9,4.0,4.1,4.2,3.7,223270,,20101031221,Ajmera Group,1,7.4120604e+19,Flats,101060101000000,Housing construction,410101010000,41001,Construction of buildings carried out on own-account basis or on a fee or contract basis,1985,Construction & Real Estate,223270,20240331,12,INDAS,4935.2,4890.0,,4081.9,264.0,264.0,,853.3,15804.4,332.0,61.0,0.0,AJMERA REALTY & INFRA INDIA LTD.,15804.4,124.0,Matched (3)
Akzo Nobel India,AKZO NOBEL INDIA LTD.,4.0,1.4k,3.7,3.8,4.0,3.7,3.9,3.7,3.3,96407,ICI,20101031223,AkzoNobel Group,1,5.0242e+19,Paints & varnishes,101013030000000,Paints & varnishes,200202010000,20221,"Manufacture of paints and varnishes, enamels or lacquers",1954,Diversified / Miscellaneous,96407,20240331,12,INDAS,49166.0,48706.0,-52.0,44847.0,3273.0,3110.0,103.0,4267.0,47967.0,1832.0,178.0,3.0,AKZO NOBEL INDIA LTD.,47967.0,1400.0,Matched (3)
Alankit,ALANKIT LTD.,3.3,389,3.1,3.2,3.1,3.2,3.2,3.2,2.9,70115,,20101031341,Alankit Group,1,8.03656e+19,Database services,101041510000000,Business services & consultancy,630101010000,63111,Data processing activities including report writing,1989,Services & Consultancy,70115,20240331,12,INDAS,1319.5,1266.4,18.6,1183.4,376.5,372.9,3.6,154.7,3778.4,1001.0,,,ALANKIT LTD.,3778.4,389.0,Matched (3)
Albert David,ALBERT DAVID LTD.,3.7,176,3.7,3.7,3.5,3.5,3.4,3.3,3.0,10376,ALBERT DAVID,20101034554,Kothari Group,1,5.01248e+19,Drug formulations,101012030000000,Drugs & pharmaceuticals,210101020000,21002,Manufacture of allopathic pharmaceutical preparations,1938,Healthcare & Pharmaceuticals,10376,20240331,12,INDAS,4199.9,3624.5,17.6,3463.3,884.3,811.4,71.1,754.2,6101.9,1497.0,,,ALBERT DAVID LTD.,6101.9,176.0,Matched (3)
Alicon Castalloy,ALICON CASTALLOY LTD.,3.3,281,3.0,2.9,3.4,3.1,2.9,3.5,3.2,173622,ENKEI CASTALLOY,20101031283,Alicon Group,1,5.7081236e+19,Aluminium castings,101013505010000,Aluminium & aluminium products,240302010000,24320,Casting of non-ferrous metals,1990,Metals & Metal Products,173622,20240331,12,INDAS,13952.2,13946.0,-58.9,13435.0,1679.4,1456.8,70.1,458.3,11265.8,3106.0,119.0,1.0,ALICON CASTALLOY LTD.,11265.8,281.0,Matched (3)
Alkem Laboratories,ALKEM LABORATORIES LTD.,3.9,3k,3.4,3.6,3.8,3.5,3.6,3.6,3.4,10884,ALKEM LABORATORIES,20101031226,Alkem Group,1,5.01248e+19,Drug formulations,101012030000000,Drugs & pharmaceuticals,210101020000,21002,Manufacture of allopathic pharmaceutical preparations,1973,Healthcare & Pharmaceuticals,10884,20240331,12,INDAS,103862.0,100829.7,713.1,87103.6,15730.3,15328.5,393.9,17471.5,143738.2,21057.0,594.0,9.0,ALKEM LABORATORIES LTD.,143738.2,3000.0,Matched (3)
